context,ADJ,ADP,ADV,CCONJ,DET,INTJ,NOUN,NUM,PART,PRON,SCONJ,VERB
Володя каким-то образом,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.9393939393939394
Врач прописал заживляющую,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Вспоминая,0.4666666666666667,0.0,0.0,0.0,0.2,0.06666666666666667,0.2,0.0,0.0,0.0,0.0,0.06666666666666667
"Выходя замуж, ты надеялась обрести спокойствие, уютный",0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.8571428571428571,0.0,0.0,0.0,0.0,0.0
"Город, раскинувшийся вдоль",0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.9230769230769231,0.0,0.0,0.0,0.0,0.0
Государством предлагается,0.07692307692307693,0.0,0.0,0.0,0.07692307692307693,0.0,0.3076923076923077,0.07692307692307693,0.0,0.0,0.0,0.46153846153846156
Дорога ведет в глухой,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.13333333333333333
Дрозды и сковрцы начали,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778
"Думаю, большой",0.03225806451612903,0.0,0.0,0.03225806451612903,0.0,0.0,0.9354838709677419,0.0,0.0,0.0,0.0,0.0
Душа требовала,0.08823529411764706,0.029411764705882353,0.029411764705882353,0.0,0.0,0.0,0.7352941176470589,0.0,0.0,0.058823529411764705,0.0,0.058823529411764705
Ее сын Гриша умер,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0
Ей никак не суметь,0.017857142857142856,0.03571428571428571,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.8392857142857143
Ей хотелось выплеснуть чай на бежевый,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.0,0.0,0.0
"Елена сидела в кресле, молодая Мурка",0.0,0.075,0.0,0.025,0.0,0.0,0.125,0.0,0.025,0.0,0.0,0.75
Ему удалось вскрыть банку об острый край,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0
Если мы позволим этим людям,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.8
Если я еще увижу здесь хоть,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.3076923076923077,0.3076923076923077,0.15384615384615385,0.15384615384615385,0.0,0.0
"Журналист взял карандаш,",0.0,0.1,0.0,0.1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.4
За два года накопилась,0.4,0.0,0.1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
За министром труда тянется целый,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0
"За углом ― Морской музей, с бесчисленными моделями",0.2,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0
"Зачем ему звонить, если откликается",0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.0,0.09090909090909091,0.18181818181818182,0.0,0.18181818181818182,0.2727272727272727,0.0,0.0
Здесь потребуется,0.13333333333333333,0.0,0.26666666666666666,0.0,0.06666666666666667,0.0,0.3333333333333333,0.0,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667
"Зоопарк ― это кусочек другого мира, находящийся в самом",0.2,0.0,0.0,0.2,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0
И на берегу озера тогда появляются,0.26,0.0,0.06,0.0,0.02,0.0,0.62,0.0,0.0,0.02,0.0,0.02
И не надо ставить это целью,0.0,0.1111111111111111,0.0,0.0,0.5,0.0,0.16666666666666666,0.0,0.0,0.05555555555555555,0.05555555555555555,0.1111111111111111
Ирине досталась,0.5,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.2857142857142857,0.0,0.07142857142857142,0.0,0.0,0.0
Каждое утро на самый верх,0.0,0.0,0.0,0.0625,0.0,0.0,0.5,0.0,0.0,0.125,0.0,0.3125
Какие главные лекарства должны,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286
Клиенты воровали из ресторана,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0
Когда мне хотелось,0.05263157894736842,0.0,0.10526315789473684,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.7894736842105263
Когда она в самолёте,0.0,0.058823529411764705,0.0196078431372549,0.0,0.0,0.0,0.058823529411764705,0.0196078431372549,0.0196078431372549,0.13725490196078433,0.0,0.6862745098039216
Когда родители,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.16666666666666666,0.0,0.08333333333333333,0.0,0.0,0.6666666666666666
Количество денег в обороте выросло благодаря,0.16666666666666666,0.05555555555555555,0.0,0.0,0.16666666666666666,0.0,0.4444444444444444,0.0,0.0,0.16666666666666666,0.0,0.0
"Мама брала меня с собой, и мы, сдав",0.07142857142857142,0.07142857142857142,0.0,0.0,0.07142857142857142,0.0,0.7142857142857143,0.0,0.0,0.07142857142857142,0.0,0.0
Мне было лень идти на стоянку и сметать,0.0,0.10526315789473684,0.10526315789473684,0.0,0.10526315789473684,0.0,0.5263157894736842,0.0,0.0,0.10526315789473684,0.0,0.05263157894736842
"Мне нравится сын коллеги,",0.0,0.05555555555555555,0.16666666666666666,0.16666666666666666,0.0,0.0,0.05555555555555555,0.0,0.1111111111111111,0.3888888888888889,0.0,0.05555555555555555
Можно будет,0.02564102564102564,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.9230769230769231
"Музыканты играли на похоронах, разгружали",0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.8333333333333334,0.0,0.0,0.08333333333333333,0.0,0.0
Мы установили камеру на новый,0.0425531914893617,0.0,0.0,0.0,0.0,0.0,0.9574468085106383,0.0,0.0,0.0,0.0,0.0
На Ольгу Васильевну было написано,0.2222222222222222,0.0,0.1111111111111111,0.0,0.0,0.0,0.5555555555555556,0.1111111111111111,0.0,0.0,0.0,0.0
На болотах оставался ещё,0.37735849056603776,0.018867924528301886,0.07547169811320754,0.018867924528301886,0.05660377358490566,0.018867924528301886,0.24528301886792453,0.03773584905660377,0.05660377358490566,0.018867924528301886,0.0,0.07547169811320754
На ведущей вниз,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0
На вторичном рынке жилья,0.09090909090909091,0.022727272727272728,0.13636363636363635,0.045454545454545456,0.045454545454545456,0.0,0.11363636363636363,0.0,0.0,0.022727272727272728,0.0,0.5227272727272727
На газовой плите стояла,0.4,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0
На запись голоса,0.05714285714285714,0.11428571428571428,0.0,0.0,0.05714285714285714,0.0,0.14285714285714285,0.0,0.02857142857142857,0.02857142857142857,0.0,0.5714285714285714
На привале у озера,0.0,0.04,0.0,0.0,0.0,0.0,0.2,0.04,0.0,0.2,0.0,0.52
"Наживка, на которую он ловил",0.0,0.1,0.1,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.1
Наше правительство сделало,0.038461538461538464,0.0,0.0,0.0,0.038461538461538464,0.0,0.9230769230769231,0.0,0.0,0.0,0.0,0.0
Наши власти позволяют себе,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.5555555555555556
"Не обнаружив ничего в досье, сыщики решили",0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9230769230769231
Не поручайте,0.25806451612903225,0.0,0.03225806451612903,0.0,0.03225806451612903,0.0,0.25806451612903225,0.0,0.0,0.3870967741935484,0.0,0.03225806451612903
Ненужный коврик из твёрдой,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.14285714285714285
Но четыре года я не мог себя,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Один футболист, который получил",0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,0.0,0.0,0.0,0.0,0.0
Однако здесь,0.0,0.07142857142857142,0.21428571428571427,0.0,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,0.0,0.0,0.5714285714285714
"Олень бродил среди берёз, жевал",0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0
Он был очень,0.5625,0.0,0.0625,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.3125
"Он вскрыл пачку сухарей,",0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.75
Он ловко поддел концом,0.02564102564102564,0.0,0.0,0.02564102564102564,0.02564102564102564,0.0,0.7692307692307693,0.02564102564102564,0.0,0.07692307692307693,0.0,0.05128205128205128
Он признаёт право каждого,0.0,0.6,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
Он стал плохо,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.08333333333333333,0.0,0.75
Он умел из любого,0.03125,0.0,0.0,0.03125,0.0,0.0,0.78125,0.0,0.03125,0.0,0.0,0.125
"Она почти не изменилась, только слегка",0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778
Она с досадой,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Она успевала убраться, разморозить",0.0,0.0,0.0,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0
"Они не ели целый день,",0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
От внимания наблюдателя не должна,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.9333333333333333
От смерти его спасла,0.5,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.06666666666666667,0.06666666666666667,0.0,0.03333333333333333
Отвернув цветастое,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.14285714285714285
Очень тогда,0.2,0.03333333333333333,0.13333333333333333,0.03333333333333333,0.0,0.0,0.03333333333333333,0.0,0.06666666666666667,0.1,0.0,0.4
Очень хочется заплести,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.14285714285714285,0.0,0.0
Педагог предъявляет,0.25,0.0,0.125,0.0,0.125,0.0,0.375,0.0,0.0,0.0,0.0,0.125
Перед ним снова была,0.2,0.0,0.0,0.0,0.06666666666666667,0.0,0.5333333333333333,0.0,0.03333333333333333,0.06666666666666667,0.0,0.1
"По воскресеньям музыканты, исполнявшие",0.2727272727272727,0.06060606060606061,0.030303030303030304,0.0,0.030303030303030304,0.0,0.5757575757575758,0.0,0.0,0.030303030303030304,0.0,0.0
Под рукавом рубашки виднелся тонкий,0.13793103448275862,0.0,0.0,0.0,0.0,0.0,0.8275862068965517,0.0,0.0,0.0,0.0,0.034482758620689655
"Покуда я нахожусь у власти, я буду предметом",0.21739130434782608,0.08695652173913043,0.0,0.0,0.0,0.0,0.6956521739130435,0.0,0.0,0.0,0.0,0.0
После завершения,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.0,0.0,0.0
Приблизительно в центре тайги,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.7
"Приготовь себе диетические овощные блюда,",0.0,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
Применение микросхемы,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.5833333333333334
Причиной аварии был мобильный,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Работы выполняет,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.6923076923076923,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0
С нескрываемой,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Сделав мне знак помолчать, он приложил",0.0,0.058823529411764705,0.0,0.0,0.11764705882352941,0.0,0.6470588235294118,0.0,0.0,0.058823529411764705,0.0,0.11764705882352941
"Собаку, виновницу случившегося, приказали",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.9090909090909091
Создать настоящие шедевры вам помогут,0.0,0.1111111111111111,0.0,0.1111111111111111,0.3333333333333333,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.0
Стала стабильнее экономическая и политическая,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Старуха была страшной --,0.2222222222222222,0.08333333333333333,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0,0.3333333333333333,0.0,0.027777777777777776,0.16666666666666666,0.027777777777777776,0.05555555555555555
Старый шкаф,0.0,0.10714285714285714,0.21428571428571427,0.0,0.03571428571428571,0.0,0.03571428571428571,0.0,0.03571428571428571,0.0,0.0,0.5714285714285714
Судя по огромному,0.0,0.0,0.0,0.0,0.0,0.0,0.9523809523809523,0.0,0.0,0.023809523809523808,0.0,0.023809523809523808
"Существует легенда, что",0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.047619047619047616,0.0,0.38095238095238093,0.023809523809523808,0.0,0.07142857142857142,0.023809523809523808,0.023809523809523808
"Считается, что коллекционирование",0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.2,0.0,0.2
"Там, недалеко от кухонной двери, сидел",0.2571428571428571,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.42857142857142855,0.02857142857142857,0.0,0.05714285714285714,0.0,0.05714285714285714
"Твоё тело расслабляется, и исчезает",0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0
Телята быстро,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.8571428571428571
Тема эта в то время была,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.3333333333333333
"Товарищ генерал,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.8333333333333334
"Тому, кто",0.06349206349206349,0.0,0.1111111111111111,0.0,0.0,0.015873015873015872,0.015873015873015872,0.0,0.015873015873015872,0.031746031746031744,0.0,0.746031746031746
Торговля продуктами питания является одной из самых,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
У Пашки,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
У директора школы был тонкий,0.041666666666666664,0.041666666666666664,0.0,0.041666666666666664,0.0,0.041666666666666664,0.8333333333333334,0.0,0.0,0.0,0.0,0.0
У мамы есть,0.18,0.0,0.04,0.0,0.0,0.0,0.56,0.14,0.0,0.08,0.0,0.0
У моего отца был счёт в швейцарском,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
У нас в Волгограде многие придерживаются,0.3333333333333333,0.0,0.0,0.0,0.2222222222222222,0.0,0.37037037037037035,0.0,0.0,0.037037037037037035,0.0,0.037037037037037035
"У тебя впереди замечательный день,",0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.25,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.3333333333333333
Убедительно просим вас разборчиво заполнять,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.1111111111111111,0.0,0.0
"Что используют для этой прически,",0.06521739130434782,0.08695652173913043,0.13043478260869565,0.0,0.0,0.0,0.3695652173913043,0.0,0.043478260869565216,0.13043478260869565,0.08695652173913043,0.08695652173913043
Что может сделать самый сильный,0.047619047619047616,0.14285714285714285,0.0,0.09523809523809523,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.047619047619047616
Что ты хочешь чтобы тебе,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Чтобы придать объем,0.0,0.0,0.0,0.1,0.3,0.0,0.5,0.0,0.0,0.1,0.0,0.0
Шею Лизы украшало ожерелье,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
Этот роман захватывает читателя с первой,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Этот студент,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.7777777777777778
Я знал: их особенно,0.25,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.5
"Я люблю салат из картошки с зеленью, заправленный",0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
Я сделала,0.19642857142857142,0.0,0.05357142857142857,0.0,0.017857142857142856,0.0,0.5178571428571429,0.05357142857142857,0.0,0.125,0.017857142857142856,0.017857142857142856
"Я сказал, что русский солдат",0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.375
"Я слезал, щупал",0.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.0,0.6428571428571429,0.0,0.0,0.0,0.0,0.0
