,context,word,POS,sum_logprobs
50,В бассейне, 3,NUM,-6.616974830627441
51,В бассейне, 4,NUM,-6.616974830627441
52,В бассейне, 1,NUM,-6.741974830627441
53,В бассейне, 10,NUM,-6.866974830627441
54,В вопросе послышался упрёк, и,CCONJ,-3.105215549468994
55,В вопросе послышался упрёк,".
Я",PRON,-5.478736877441406
56,В вопросе послышался упрёк,".
Вопрос",NOUN,-6.977441787719727
57,В вопросе послышался упрёк,".

Я",PRON,-7.798587322235107
58,В вопросе послышался упрёк,".

В",INTJ,-8.048587322235107
59,В вопросе послышался упрёк,".
Слов",NOUN,-8.101320266723633
60,В вопросе послышался упрёк,".
Словно",SCONJ,-8.216789834201336
61,В вопросе послышался упрёк,".
Всё",PRON,-8.352441787719727
62,В вопросе послышался упрёк,".
Скажи",VERB,-8.356423512101173
63,В вопросе послышался упрёк,".
Ведь",PART,-8.602441787719727
64,В вопросе послышался упрёк,".
Сейчас",ADV,-8.976320266723633
65,В вопросе послышался упрёк,".
Слушай",VERB,-9.194114059209824
66,В вопросе послышался упрёк,".
Вам",PRON,-9.227441787719728
67,В вопросе послышался упрёк,".
Вопросы",NOUN,-9.379829168319702
68,В вопросе послышался упрёк,".
Скорее",ADV,-9.402848362922668
69,В деревнях по-прежнему, живут,VERB,-2.4090495109558105
70,В деревнях по-прежнему, много,ADV,-3.1981201171875
71,В деревнях по-прежнему, можно,ADV,-3.3231201171875
72,В деревнях по-прежнему, есть,VERB,-3.4481201171875
73,В деревнях по-прежнему, сохранились,VERB,-3.9582627974887146
74,В деревнях по-прежнему, сохраняются,VERB,-4.073456704616547
75,В деревнях по-прежнему, сохраняется,VERB,-4.573456764221191
76,В деревнях по-прежнему, сохранился,VERB,-4.958262857093359
77,В деревнях по-прежнему, живет,VERB,-5.2840495109558105
78,В деревнях по-прежнему, сохранилась,VERB,-5.833262857093359
79,В деревнях по-прежнему, живёт,VERB,-6.1590495109558105
80,В деревнях по-прежнему, сохранялись,VERB,-6.323456764221191
81,В деревнях по-прежнему, сохранилось,VERB,-6.458262857093359
82,В деревнях по-прежнему, сохраняют,VERB,-6.698456764221191
83,В деревнях по-прежнему, сохранили,VERB,-6.833262857093359
84,В каждом, из,ADP,-1.090863823890686
85,В каждом, случае,NOUN,-1.840863823890686
86,В каждом, классе,NOUN,-3.5919596314197406
87,В каждом, проекте,NOUN,-4.217018332798034
88,В каждом, конкретном,ADJ,-4.3427038146182895
89,В каждом, примере,NOUN,-4.466430080879945
90,В каждом, классов,NOUN,-10.466959476470947
91,В каждом, классовом,ADJ,-10.473403530661017
92,В каждом, конкретно,ADV,-10.967703819274902
93,В каждом, проектном,ADJ,-11.592018127441406
94,В каждом, проектировании,NOUN,-12.467018604278564
95,В каждом, конкретной,ADJ,-12.717703342437744
96,В каждом, примечании,NOUN,-12.980337213724852
97,В каждом, примерах,NOUN,-13.341430187225342
98,В каждом, проектируемом,VERB,-13.468811951577663
99,В качестве примера приводится, следующий,ADJ,-3.137758016586304
100,В качестве примера приводится, код,NOUN,-3.262758016586304
101,В качестве примера приводится, след,NOUN,-3.637758016586304
102,В качестве примера приводится, использование,NOUN,-3.637758016586304
103,В качестве примера приводится, следующее,ADJ,-3.642535939346999
104,В качестве примера приводится, несколько,NUM,-4.012758255004883
105,В качестве примера приводится, следствие,NOUN,-11.8925359249115
106,В качестве примера приводится, следу,NOUN,-12.0175359249115
107,В качестве примера приводится, следущее,ADJ,-12.142497658729551
108,В качестве примера приводится, следование,NOUN,-12.1425359249115
109,В качестве примера приводится, следующее,ADJ,-12.830583095550535
110,В качестве примера приводится, следуюший,ADJ,-13.080583095550535
111,В качестве примера приводится, следую­,VERB,-13.205583095550535
112,В качестве примера приводится, следующе,ADV,-13.205583095550535
113,В качестве примера приводится, следуюшая,ADJ,-13.455583095550535
114,В конверте вместе с деньгами была, записка,NOUN,-0.2464734017848968
115,В конверте вместе с деньгами была, вложена,VERB,-3.375588928349316
116,В конверте вместе с деньгами была, карточка,NOUN,-4.242470200551907
117,В конверте вместе с деньгами была, и,CCONJ,-4.36729907989502
118,В конверте вместе с деньгами была, открытка,NOUN,-4.367394040418731
119,В конверте вместе с деньгами была, еще,ADV,-4.61729907989502
120,В конверте вместе с деньгами была, записочка,NOUN,-5.74647319316864
121,В конверте вместе с деньгами была, вложенная,VERB,-8.75058889389038
122,В конверте вместе с деньгами была, вложка,NOUN,-9.75058889389038
123,В конверте вместе с деньгами была, вложен,VERB,-10.00058889389038
124,В конверте вместе с деньгами была, записки,NOUN,-11.37147319316864
125,В конверте вместе с деньгами была, записанная,VERB,-11.49647319316864
126,В конверте вместе с деньгами была, вложено,VERB,-11.50058937072754
127,В конверте вместе с деньгами была, записана,VERB,-11.62147319316864
128,В конверте вместе с деньгами была, записку,NOUN,-11.87147319316864
129,В котёл бросают куски, мяса,NOUN,-1.2885371898300946
130,В котёл бросают куски, льда,NOUN,-2.663751444662921
131,В котёл бросают куски, угля,NOUN,-2.794762367848307
132,В котёл бросают куски, металла,NOUN,-3.711570497602224
133,В котёл бросают куски, свинца,NOUN,-4.292566806077957
134,В котёл бросают куски, свинины,NOUN,-4.436461095698178
135,В котёл бросают куски, мрамора,NOUN,-4.480640694499016
136,В котёл бросают куски, мела,NOUN,-5.049259901046753
137,В котёл бросают куски, свиного,ADJ,-5.41756683588028
138,В котёл бросают куски, мыла,NOUN,-5.799259901046753
139,В котёл бросают куски, мрамор,NOUN,-6.105640709400177
140,В котёл бросают куски, мраморной,ADJ,-6.480345994234085
141,В котёл бросают куски, сви,INTJ,-7.1858766078948975
142,В котёл бросают куски, металлолома,NOUN,-7.341270827688277
143,В котёл бросают куски, мраморного,ADJ,-7.355346024036407
144,В лесу ветром, шепчет,VERB,-3.329271137714386
145,В лесу ветром, шепчут,VERB,-3.8740639686584473
146,В лесу ветром, шепчутся,VERB,-4.249063968658447
147,В лесу ветром, шевелит,VERB,-4.310511238873005
148,В лесу ветром, треплет,VERB,-4.383520036935806
149,В лесу ветром, унесло,VERB,-4.617226928472519
150,В лесу ветром, шепчется,VERB,-4.624063968658447
151,В лесу ветром, шептал,VERB,-4.704271137714386
152,В лесу ветром, шурша,VERB,-4.715097188949585
153,В лесу ветром, шуршит,VERB,-4.7184648513793945
154,В лесу ветром, шевелится,VERB,-4.935511238873005
155,В лесу ветром, колышет,VERB,-4.936085104942322
156,В лесу ветром, шептались,VERB,-4.951943442225456
157,В лесу ветром, гудит,VERB,-5.039662659168243
158,В лесу ветром, шевелятся,VERB,-5.060511238873005
159,В мои обязанности входило утром включить, компьютер,NOUN,-2.471184015274048
160,В мои обязанности входило утром включить, свет,NOUN,-2.846184015274048
161,В мои обязанности входило утром включить, и,CCONJ,-3.471184015274048
162,В мои обязанности входило утром включить, печь,NOUN,-3.545261919498444
163,В мои обязанности входило утром включить, в,ADP,-3.596184015274048
164,В мои обязанности входило утром включить, об,ADP,-3.596184015274048
165,В мои обязанности входило утром включить, обогрев,NOUN,-3.600792366778478
166,В мои обязанности входило утром включить, обогреватель,NOUN,-4.03349332860671
167,В мои обязанности входило утром включить, печку,NOUN,-4.295261859893799
168,В мои обязанности входило утром включить, обогреватели,NOUN,-4.908493358409032
169,В мои обязанности входило утром включить, печи,NOUN,-6.295261859893799
170,В мои обязанности входило утром включить, везде,ADV,-6.865918159484863
171,В мои обязанности входило утром включить, печки,NOUN,-7.295262098312378
172,В мои обязанности входило утром включить, обогревательные,ADJ,-9.033493477618322
173,В мои обязанности входило утром включить, печное,ADJ,-10.170262098312378
174,В речи учёного прозвучало, много,ADV,-1.4186125993728638
175,В речи учёного прозвучало, множество,NOUN,-2.418612480163574
176,В речи учёного прозвучало, несколько,NUM,-2.668612480163574
177,В речи учёного прозвучало, немало,ADV,-3.55733691342175
178,В речи учёного прозвучало, немалое,ADJ,-7.96240684017539
179,В речи учёного прозвучало, немаловажное,ADJ,-11.068337702658027
180,В речи учёного прозвучало, немое,ADJ,-12.807336807250977
181,В речи учёного прозвучало, немalo,NOUN,-13.057336807250977
182,В речи учёного прозвучало, немалую,ADJ,-13.087406635284424
183,В речи учёного прозвучало, немаленькое,ADJ,-13.15897674113512
184,В речи учёного прозвучало, немалые,ADJ,-13.212406635284424
185,В речи учёного прозвучало, немедленное,ADJ,-13.56918245658744
186,В речи учёного прозвучало, немалый,ADJ,-13.837406635284424
187,В речи учёного прозвучало, немедленно,ADV,-14.193285703659058
188,В речи учёного прозвучало, немалозначительное,ADJ,-14.728897949215025
189,В современном, мире,NOUN,-0.1991859078407287
190,В современном, обществе,NOUN,-3.0741927172539363
191,В современном, бизнес,NOUN,-4.074185848236084
192,В современном, бизнесе,NOUN,-4.093885239213705
193,В современном, языке,NOUN,-5.199185848236084
194,В современном, контексте,NOUN,-5.199605036466778
195,В современном, быстро,ADV,-5.449185848236084
196,В современном, быстроразвивающемся,VERB,-9.417431737598235
197,В современном, быстроизменяющемся,VERB,-10.544810266961576
198,В современном, быстрорастущем,ADJ,-12.786675927069156
199,В современном, контент,NOUN,-13.82460355758667
200,В современном, контенте,NOUN,-13.900918446481228
201,В современном, контекст,NOUN,-14.07460355758667
202,В современном, быстроразвивающем,VERB,-15.16743157671226
203,В современном, контекстах,NOUN,-15.36541783809662
204,В сюжете этого фильма какие-то, люди,NOUN,-2.883407592773437
205,В сюжете этого фильма какие-то, странные,ADJ,-3.281482901424169
206,В сюжете этого фильма какие-то, не,PART,-3.8834075927734375
207,В сюжете этого фильма какие-то, события,NOUN,-3.8834075927734375
208,В сюжете этого фильма какие-то, непонятные,ADJ,-4.216566243208945
209,В сюжете этого фильма какие-то, злые,ADJ,-4.333835542201996
210,В сюжете этого фильма какие-то, злодеи,NOUN,-5.34332827758044
211,В сюжете этого фильма какие-то, неведомые,ADJ,-5.586230759741738
212,В сюжете этого фильма какие-то, неполадки,NOUN,-5.805103629827499
213,В сюжете этого фильма какие-то, неясные,ADJ,-6.211948523297906
214,В сюжете этого фильма какие-то, несуразные,ADJ,-7.043858487159014
215,В сюжете этого фильма какие-то, неудачники,NOUN,-7.087272480130196
216,В сюжете этого фильма какие-то, странности,NOUN,-7.156482934951782
217,В сюжете этого фильма какие-то, непорядочные,ADJ,-7.349067823961377
218,В сюжете этого фильма какие-то, неудачливые,ADJ,-8.463506655883975
219,В темноте Иван задел острый, край,NOUN,-1.2925320863723757
220,В темноте Иван задел острый, предмет,NOUN,-1.6675320863723757
221,В темноте Иван задел острый, камень,NOUN,-1.6692653385689482
222,В темноте Иван задел острый, угол,NOUN,-1.7925320863723757
223,В темноте Иван задел острый, выступ,NOUN,-3.792531967163086
224,В темноте Иван задел острый, облом,NOUN,-4.230848461389542
225,В темноте Иван задел острый, обломок,NOUN,-4.231138398783514
226,В темноте Иван задел острый, обрез,NOUN,-6.480848550796509
227,В темноте Иван задел острый, обрезок,NOUN,-6.840857207775116
228,В темноте Иван задел острый, обрыв,NOUN,-6.980848550796509
229,В темноте Иван задел острый, обрывок,NOUN,-7.14293971657753
230,В темноте Иван задел острый, обруб,NOUN,-8.48084831237793
231,В темноте Иван задел острый, обрубок,NOUN,-8.48417051229626
232,В темноте Иван задел острый, камушек,NOUN,-8.91945832069905
233,В темноте Иван задел острый, камешек,NOUN,-8.919598709617276
234,В тот момент, я,PRON,-3.279864549636841
235,В тот момент, он,PRON,-4.15486478805542
236,В тот момент, у,ADP,-4.40486478805542
237,В тот момент, мне,PRON,-4.65486478805542
238,В тот момент,",
к",ADP,-4.927799180150032
239,В тот момент,",
когда",ADV,-4.928713504574262
240,В тот момент,",
как",SCONJ,-7.927799224853516
241,В тот момент,",
Когда",ADV,-8.802799224853516
242,В тот момент,",
в",ADP,-9.302799224853516
243,В тот момент,",
пока",ADV,-9.774847969412804
244,В тот момент,",
К",ADP,-10.427799224853516
245,В тот момент,",
вот",PART,-11.245033025741575
246,В тот момент,",
который",PRON,-12.319319143891336
247,В тот момент,",
Когда",ADV,-12.34220004081726
248,В тот момент,",
все",PRON,-12.495033025741575
249,В числе возможных кандидатов, на,ADP,-0.4934428334236145
250,В числе возможных кандидатов, также,ADV,-3.9934427738189697
251,Ваня раскрыл было, рот,NOUN,-0.7342758774757385
252,Ваня раскрыл было, свои,DET,-3.1092758178710938
253,Ваня раскрыл было, глаза,NOUN,-3.2342758178710938
254,Ваня раскрыл было, дверь,NOUN,-3.3592758178710938
255,Ваня раскрыл было, рюк,NOUN,-4.656542539596558
256,Ваня раскрыл было, рюкзак,NOUN,-4.692664068192244
257,Ваня раскрыл было, рты,NOUN,-5.281542539596558
258,Ваня раскрыл было, рота,NOUN,-5.656542539596558
259,Ваня раскрыл было, рт,INTJ,-6.031542539596558
260,Ваня раскрыл было, рта,NOUN,-6.031542539596558
261,Ваня раскрыл было, ртуть,NOUN,-6.636668205261231
262,Ваня раскрыл было, рюмку,NOUN,-6.733415260910988
263,Ваня раскрыл было, ртутный,ADJ,-7.33676865696907
264,Ваня раскрыл было, рюкзачок,NOUN,-8.135439857840538
265,Ваня раскрыл было, ртутную,ADJ,-9.586768627166748
266,"Взяв с собой фотоаппарат, вся",кий,NOUN,-1.427078127861023
267,"Взяв с собой фотоаппарат, вся", семья,NOUN,-1.927078127861023
268,"Взяв с собой фотоаппарат, вся", команда,NOUN,-2.0520782470703125
269,"Взяв с собой фотоаппарат, вся",чески,ADV,-2.4270782470703125
270,"Взяв с собой фотоаппарат, вся", группа,NOUN,-3.4270782470703125
271,"Взяв с собой фотоаппарат, вся",кие,ADV,-3.5520782470703125
272,Власть судов была такой, же,PART,-0.3430699110031128
273,Власть судов была такой, сильной,ADJ,-3.718710272340104
274,Власть судов была такой, большой,ADJ,-4.093070030212402
275,Власть судов была такой, высокой,ADJ,-4.343070030212402
276,Власть судов была такой, значительной,ADJ,-4.696057364344597
277,Власть судов была такой, значимой,ADJ,-6.071057319641113
278,Власть судов была такой, значитель,NOUN,-11.446057319641112
279,Власть судов была такой, сильный,ADJ,-11.718709945678713
280,Власть судов была такой, значитель­,NOUN,-12.463856101036072
281,Власть судов была такой, значитель­ной,ADJ,-12.491352021694183
282,Власть судов была такой, значительн,ADJ,-12.713856101036072
283,Власть судов была такой, значительнo,ADV,-12.975743293762209
284,Власть судов была такой, значительнoй,ADJ,-12.977154241059909
285,Власть судов была такой, сильней,ADJ,-13.093709945678713
286,Власть судов была такой, сильнейшей,ADJ,-13.190030179917812
287,Во избежание ожогов надо нанести на лицо небольшое, количество,NOUN,-0.0062797558493912
288,Во избежание ожогов надо нанести на лицо небольшое, кол,NOUN,-6.881279945373535
289,Во избежание ожогов надо нанести на лицо небольшое,"
кол",NOUN,-6.882606378989294
290,Во избежание ожогов надо нанести на лицо небольшое,"
количество",NOUN,-6.883448405424133
291,Во избежание ожогов надо нанести на лицо небольшое, количетсво,NOUN,-8.23568336898461
292,Во избежание ожогов надо нанести на лицо небольшое, (но,CCONJ,-9.26149308681488
293,Во избежание ожогов надо нанести на лицо небольшое, (не,PART,-9.76149320602417
294,Во избежание ожогов надо нанести на лицо небольшое, количест,NOUN,-9.78545379638672
295,Во избежание ожогов надо нанести на лицо небольшое, колличество,NOUN,-9.843983652070165
296,Во избежание ожогов надо нанести на лицо небольшое, (в,ADP,-10.13649320602417
297,Во избежание ожогов надо нанести на лицо небольшое, (по,ADP,-10.13649320602417
298,Во избежание ожогов надо нанести на лицо небольшое, количесто,ADJ,-10.16045379638672
299,Во избежание ожогов надо нанести на лицо небольшое, количест­,NOUN,-10.382603645324709
300,Во избежание ожогов надо нанести на лицо небольшое, количест­во,NOUN,-10.38995078438893
301,Во избежание ожогов надо нанести на лицо небольшое, (1,NUM,-10.63649320602417
302,Возможности этих перемен будут обсуждаться в Париже, на,ADP,-0.8330482244491577
303,Возможности этих перемен будут обсуждаться в Париже, в,ADP,-2.458048343658448
304,Возможности этих перемен будут обсуждаться в Париже, и,CCONJ,-3.333048343658448
305,Возможности этих перемен будут обсуждаться в Париже, 30,NUM,-4.685488224029541
306,Возможности этих перемен будут обсуждаться в Париже, 12,NUM,-4.810488224029541
307,Возможности этих перемен будут обсуждаться в Париже, 22,NUM,-5.185488224029541
308,Возможности этих перемен будут обсуждаться в Париже, 11,NUM,-5.310488224029541
309,Возможности этих перемен будут обсуждаться в Париже, 29,NUM,-5.310488224029541
310,Возможности этих перемен будут обсуждаться в Париже, 15,NUM,-5.560488224029541
311,Возможности этих перемен будут обсуждаться в Париже, 12–13,NUM,-8.144815981388092
312,Возможности этих перемен будут обсуждаться в Париже, 11–12,NUM,-8.239533364772797
313,Возможности этих перемен будут обсуждаться в Париже, 22–23,NUM,-8.283352881669998
314,Возможности этих перемен будут обсуждаться в Париже, 29–,NUM,-8.373734712600708
315,Возможности этих перемен будут обсуждаться в Париже, 12—,NUM,-8.374929428100586
316,Возможности этих перемен будут обсуждаться в Париже, 11—,NUM,-8.541304588317871
317,Володя каким-то образом, смог,VERB,-3.396579027175904
318,Володя каким-то образом, оказался,VERB,-3.521579027175904
319,Володя каким-то образом, нашел,VERB,-4.025950372219086
320,Володя каким-то образом, умудрился,VERB,-4.137689685449004
321,Володя каким-то образом, нашёл,VERB,-5.2759504318237305
322,Володя каким-то образом, умудрял,VERB,-6.262689685449004
323,Володя каким-то образом, умудрялся,VERB,-6.262847812904511
324,Володя каким-то образом, умудряется,VERB,-6.387689685449004
325,Володя каким-то образом,"
попал",VERB,-6.671567350625992
326,Володя каким-то образом,"
достал",VERB,-6.960857391357422
327,Володя каким-то образом,"
все",PRON,-7.020537972450256
328,Володя каким-то образом,"
сделал",VERB,-7.379664923995733
329,Володя каким-то образом,"
всё",PRON,-7.395537972450256
330,Володя каким-то образом,"
сумел",VERB,-7.470642392290756
331,Володя каким-то образом,"
попадает",VERB,-7.546567350625992
332,Врач прописал заживляющую, мазь,NOUN,-0.0266113458892505
333,Врач прописал заживляющую, и,CCONJ,-5.52655553817749
334,Врач прописал заживляющую, мась,NOUN,-5.867432452738285
335,Врач прописал заживляющую, пасту,NOUN,-6.152773989830166
336,Врач прописал заживляющую, повязку,NOUN,-6.651941732647174
337,Врач прописал заживляющую, терапию,NOUN,-6.652266778051853
338,Врач прописал заживляющую, маску,NOUN,-8.242432355880737
339,Врач прописал заживляющую, мазью,NOUN,-10.276610916480422
340,Врач прописал заживляющую, мази,NOUN,-11.776610916480422
341,Врач прописал заживляющую, мазЬ,NOUN,-12.651610916480422
342,Врач прописал заживляющую, масочку,NOUN,-12.742432594299316
343,Врач прописал заживляющую, пасть,NOUN,-13.2777738571167
344,Врач прописал заживляющую, масляную,ADJ,-13.347975432872772
345,Врач прописал заживляющую, мазю,NOUN,-13.589110916480422
346,Врач прописал заживляющую, мазев,NOUN,-13.651610916480422
347,Вспоминая, о,INTJ,-1.7362231016159058
348,Вспоминая, об,ADP,-3.361223220825196
349,Вспоминая, свои,DET,-3.7362232208251953
350,Вспоминая, тот,DET,-3.7362232208251953
351,Вспоминая, 90,NUM,-5.650011301040649
352,Вспоминая, 2020,NUM,-6.838153719902039
353,Вспоминая, 2022,NUM,-7.088153719902039
354,Вспоминая, 2021,NUM,-7.463153719902039
355,Вспоминая, 2018,NUM,-7.620497703552246
356,Вспоминая, 2019,ADJ,-7.620497703552246
357,Вспоминая, 2016,NUM,-7.745497703552246
358,Вспоминая, 2017,NUM,-7.745497703552246
359,Вспоминая, 2014,ADJ,-7.870497703552246
360,Вспоминая, 2015,ADJ,-7.870497703552246
361,Вспоминая, 1990,ADJ,-7.911950469017029
362,"Выходя замуж, ты надеялась обрести спокойствие, уютный", дом,NOUN,-0.2658422291278839
363,"Выходя замуж, ты надеялась обрести спокойствие, уютный", семейный,ADJ,-2.515926193111227
364,"Выходя замуж, ты надеялась обрести спокойствие, уютный", домашний,ADJ,-2.765981019460014
365,"Выходя замуж, ты надеялась обрести спокойствие, уютный", бы,PART,-3.265842199325561
366,"Выходя замуж, ты надеялась обрести спокойствие, уютный", быт,NOUN,-3.2658675449110888
367,"Выходя замуж, ты надеялась обрести спокойствие, уютный", вечер,NOUN,-4.515842437744141
368,"Выходя замуж, ты надеялась обрести спокойствие, уютный", угол,NOUN,-4.765842437744141
369,"Выходя замуж, ты надеялась обрести спокойствие, уютный", уголок,NOUN,-4.780346140265465
370,"Выходя замуж, ты надеялась обрести спокойствие, уютный", домик,NOUN,-5.394543439149857
371,"Выходя замуж, ты надеялась обрести спокойствие, уютный", уголочек,NOUN,-11.155345916748049
372,"Выходя замуж, ты надеялась обрести спокойствие, уютный", семейные,ADJ,-13.265926122665403
373,"Выходя замуж, ты надеялась обрести спокойствие, уютный", домашние,ADJ,-13.390981435775757
374,"Выходя замуж, ты надеялась обрести спокойствие, уютный", семейной,ADJ,-13.640926122665403
375,"Выходя замуж, ты надеялась обрести спокойствие, уютный", семейное,ADJ,-13.765926122665403
376,"Выходя замуж, ты надеялась обрести спокойствие, уютный", домашн,ADJ,-13.765981435775757
377,"Город, раскинувшийся вдоль", реки,NOUN,-1.425490559238824
378,"Город, раскинувшийся вдоль", побережья,NOUN,-1.9259566392574925
379,"Город, раскинувшийся вдоль", берега,NOUN,-2.338230837136507
380,"Город, раскинувшийся вдоль", берегов,NOUN,-2.600438453257084
381,"Город, раскинувшийся вдоль", моря,NOUN,-3.050355195999145
382,"Город, раскинувшийся вдоль", рек,NOUN,-3.8003551959991455
383,"Город, раскинувшийся вдоль", береговой,ADJ,-5.600438356399536
384,"Город, раскинувшийся вдоль", бережка,NOUN,-6.505425035953522
385,"Город, раскинувшийся вдоль", берёз,NOUN,-6.963230848312378
386,"Город, раскинувшийся вдоль", берёзовой,ADJ,-7.388617306947708
387,"Город, раскинувшийся вдоль", берез,NOUN,-7.463230848312378
388,"Город, раскинувшийся вдоль", берегов,NOUN,-8.088230848312378
389,"Город, раскинувшийся вдоль", березовой,ADJ,-8.170133113861084
390,"Город, раскинувшийся вдоль", бережков,NOUN,-8.255424976348877
391,"Город, раскинувшийся вдоль", берёзовых,ADJ,-8.763617277145386
392,Государством предлагается, в,ADP,-3.331119537353516
393,Государством предлагается, создать,VERB,-3.331119537353516
394,Государством предлагается, возможность,NOUN,-3.581119537353516
395,Государством предлагается, ввести,VERB,-3.633994936943054
396,Государством предлагается, ряд,NOUN,-3.706119537353516
397,Государством предлагается, установить,VERB,-4.081119537353516
398,Государством предлагается, поддержка,NOUN,-4.541917622089386
399,Государством предлагается, поддержать,VERB,-5.791917562484741
400,Государством предлагается, поддерживать,VERB,-5.791917562484741
401,Государством предлагается, вносить,VERB,-8.00972393079428
402,Государством предлагается, поддержание,NOUN,-9.41691780090332
403,Государством предлагается, поддержанная,VERB,-11.54191780090332
404,Государством предлагается, поддерживающая,VERB,-12.42990356683731
405,Государством предлагается, поддерживающим,VERB,-13.054903507232666
406,Государством предлагается, поддерживающий,VERB,-13.929903507232666
407,Дорога ведет в глухой, лес,NOUN,-0.109803706407547
408,Дорога ведет в глухой, и,CCONJ,-4.859803676605225
409,Дорога ведет в глухой, сосняк,NOUN,-5.000407240353525
410,Дорога ведет в глухой, бор,NOUN,-5.609803676605225
411,Дорога ведет в глухой, еловый,ADJ,-5.691762791480869
412,Дорога ведет в глухой, сосновый,ADJ,-6.239091959316284
413,Дорога ведет в глухой, ельник,NOUN,-7.44149629957974
414,Дорога ведет в глухой, соснячок,NOUN,-9.468353979289532
415,Дорога ведет в глухой, еле,PART,-9.810197353363035
416,Дорога ведет в глухой, евр,NOUN,-10.060197353363035
417,Дорога ведет в глухой, еврейский,ADJ,-10.064845931599848
418,Дорога ведет в глухой, елеист,NOUN,-10.522824466228483
419,Дорога ведет в глухой, елеистый,ADJ,-10.616913698613644
420,Дорога ведет в глухой, елово,NOUN,-11.066762909293177
421,Дорога ведет в глухой, соснячек,NOUN,-11.843353927135468
422,Дрозды и сковрцы начали, петь,VERB,-1.5133308302611113
423,Дрозды и сковрцы начали, свою,DET,-3.621387243270874
424,Дрозды и сковрцы начали, свои,DET,-3.621387243270874
425,Дрозды и сковрцы начали, гнездиться,VERB,-3.781810401007533
426,Дрозды и сковрцы начали, свой,DET,-4.121387481689453
427,Дрозды и сковрцы начали, весело,ADJ,-5.372329831123352
428,Дрозды и сковрцы начали, веселиться,VERB,-5.372329831123352
429,Дрозды и сковрцы начали, весну,NOUN,-5.872329831123352
430,Дрозды и сковрцы начали, пение,NOUN,-6.263330698013306
431,Дрозды и сковрцы начали, гнездоваться,VERB,-6.281810505315661
432,Дрозды и сковрцы начали, весенние,ADJ,-6.455877840518951
433,Дрозды и сковрцы начали, гнездование,NOUN,-6.531810505315661
434,Дрозды и сковрцы начали, весной,NOUN,-6.872329950332642
435,Дрозды и сковрцы начали, веселье,NOUN,-7.030338618904352
436,Дрозды и сковрцы начали, гнездится,VERB,-7.031810505315661
