,context,word,POS
134,Ей хотелось выплеснуть чай на бежевый,костюм,NOUN
135,Ей хотелось выплеснуть чай на бежевый,халат,NOUN
136,Ей хотелось выплеснуть чай на бежевый,сюртук,NOUN
137,Ей хотелось выплеснуть чай на бежевый,диван,NOUN
138,Ей хотелось выплеснуть чай на бежевый,плащ,NOUN
139,Ей хотелось выплеснуть чай на бежевый,свитер,NOUN
140,Ей хотелось выплеснуть чай на бежевый,сарафан,NOUN
141,Ей хотелось выплеснуть чай на бежевый,пол,NOUN
142,Ей хотелось выплеснуть чай на бежевый,плед,NOUN
143,Ей хотелось выплеснуть чай на бежевый,в,ADP
144,Шею Лизы украшало ожерелье,вода,NOUN
145,Шею Лизы украшало ожерелье,из,ADP
146,Шею Лизы украшало ожерелье,с,ADP
147,"За углом ― Морской музей, с бесчисленными моделями",военных,NOUN
148,"За углом ― Морской музей, с бесчисленными моделями",боевых,ADJ
149,"За углом ― Морской музей, с бесчисленными моделями",рыб,NOUN
150,"За углом ― Морской музей, с бесчисленными моделями",судов,NOUN
151,"За углом ― Морской музей, с бесчисленными моделями",кораблей,NOUN
152,От внимания наблюдателя не должна,ускользнуть,VERB
153,От внимания наблюдателя не должна,быть,VERB
154,От внимания наблюдателя не должна,кружится,VERB
155,От внимания наблюдателя не должна,получаться,VERB
156,От внимания наблюдателя не должна,болеть,VERB
157,От внимания наблюдателя не должна,глагол,NOUN
158,От внимания наблюдателя не должна,страдать,VERB
159,От внимания наблюдателя не должна,уходить,VERB
160,От внимания наблюдателя не должна,зависеть,VERB
161,От внимания наблюдателя не должна,меняться,VERB
162,От внимания наблюдателя не должна,скрываться,VERB
163,От внимания наблюдателя не должна,скрыться,VERB
164,От внимания наблюдателя не должна,уйти,VERB
165,От внимания наблюдателя не должна,укрыться,VERB
166,От внимания наблюдателя не должна,ускользать,VERB
167,В числе возможных кандидатов,в,ADP
168,В числе возможных кандидатов,на,ADP
169,В числе возможных кандидатов,наук,NOUN
170,В числе возможных кандидатов,был,VERB
171,В числе возможных кандидатов,значился,VERB
172,"Зоопарк ― это кусочек другого мира, находящийся в самом",сердце,NOUN
173,"Зоопарк ― это кусочек другого мира, находящийся в самом",и,CCONJ
174,"Зоопарк ― это кусочек другого мира, находящийся в самом",интересном,ADJ
175,"Зоопарк ― это кусочек другого мира, находящийся в самом",центре,NOUN
176,"Зоопарк ― это кусочек другого мира, находящийся в самом",м,NOUN
177,Мне было лень идти на стоянку и сметать,грязь,NOUN
178,Мне было лень идти на стоянку и сметать,стежки,NOUN
179,Мне было лень идти на стоянку и сметать,мох,NOUN
180,Мне было лень идти на стоянку и сметать,ягель,NOUN
181,Мне было лень идти на стоянку и сметать,все,PRON
182,Мне было лень идти на стоянку и сметать,весь,DET
183,Мне было лень идти на стоянку и сметать,там,ADV
184,Мне было лень идти на стоянку и сметать,оттуда,ADV
185,Мне было лень идти на стоянку и сметать,эту,DET
186,Мне было лень идти на стоянку и сметать,в,ADP
187,Мне было лень идти на стоянку и сметать,всех,PRON
188,Мне было лень идти на стоянку и сметать,опавшие,VERB
189,Мне было лень идти на стоянку и сметать,с,ADP
190,Мне было лень идти на стоянку и сметать,р,NOUN
191,Мне было лень идти на стоянку и сметать,пыль,NOUN
192,Мне было лень идти на стоянку и сметать,листья,NOUN
193,Мне было лень идти на стоянку и сметать,мусор,NOUN
194,Мне было лень идти на стоянку и сметать,снег,NOUN
195,Мне было лень идти на стоянку и сметать,снг,NOUN
196,За министром труда тянется целый,полк,NOUN
197,За министром труда тянется целый,ворох,NOUN
198,За министром труда тянется целый,состав,NOUN
199,За министром труда тянется целый,ряд,NOUN
200,За министром труда тянется целый,перечень,NOUN
201,За министром труда тянется целый,п,ADJ
202,За министром труда тянется целый,шлейф,NOUN
203,А промывать манную,кашу,NOUN
204,А промывать манную,п,ADJ
205,А промывать манную,крупу,NOUN
206,Если я еще увижу здесь хоть,раз,NOUN
207,Если я еще увижу здесь хоть,бы,PART
208,Если я еще увижу здесь хоть,не,PART
209,Если я еще увижу здесь хоть,немного,ADV
210,Если я еще увижу здесь хоть,капельку,NOUN
211,Если я еще увижу здесь хоть,каплю,NOUN
212,Если я еще увижу здесь хоть,кого-то,PRON
213,Если я еще увижу здесь хоть,один,NUM
214,Если я еще увижу здесь хоть,одно,NUM
215,Если я еще увижу здесь хоть,одного,NUM
216,Если я еще увижу здесь хоть,одну,NUM
217,Если я еще увижу здесь хоть,что-то,PRON
218,Если я еще увижу здесь хоть,соринку,NOUN
219,На болотах оставался ещё,день,NOUN
220,На болотах оставался ещё,запах,NOUN
221,На болотах оставался ещё,охотник,NOUN
222,На болотах оставался ещё,урожай,NOUN
223,На болотах оставался ещё,тоннеля,NOUN
224,На болотах оставался ещё,трава,NOUN
225,На болотах оставался ещё,человек,NOUN
226,На болотах оставался ещё,признак,NOUN
227,На болотах оставался ещё,все,PRON
228,На болотах оставался ещё,талый,ADJ
229,На болотах оставался ещё,свежий,ADJ
230,На болотах оставался ещё,один,NUM
231,На болотах оставался ещё,лежать,VERB
232,На болотах оставался ещё,недоделанный,VERB
233,На болотах оставался ещё,тот,DET
234,На болотах оставался ещё,утренний,ADJ
235,На болотах оставался ещё,и,CCONJ
236,На болотах оставался ещё,покрытый,VERB
237,На болотах оставался ещё,не,PART
238,На болотах оставался ещё,долго,ADV
239,На болотах оставался ещё,теплый,ADJ
240,На болотах оставался ещё,легкий,ADJ
241,На болотах оставался ещё,некоторый,DET
242,На болотах оставался ещё,невредимый,ADJ
243,На болотах оставался ещё,небольшой,ADJ
244,На болотах оставался ещё,неизвестный,ADJ
245,На болотах оставался ещё,лишь,PART
246,На болотах оставался ещё,еле,PART
247,На болотах оставался ещё,густой,ADJ
248,На болотах оставался ещё,целый,ADJ
249,На болотах оставался ещё,сырой,ADJ
250,На болотах оставался ещё,липкий,ADJ
251,На болотах оставался ещё,нетронутый,ADJ
252,На болотах оставался ещё,странный,ADJ
253,На болотах оставался ещё,тихий,ADJ
254,На болотах оставался ещё,нерастаявший,VERB
255,На болотах оставался ещё,весенний,ADJ
256,На болотах оставался ещё,серый,ADJ
257,На болотах оставался ещё,еще,ADV
258,На болотах оставался ещё,пока,ADV
259,На болотах оставался ещё,холодный,ADJ
260,На болотах оставался ещё,едва,ADV
261,На болотах оставался ещё,жив,ADJ
262,На болотах оставался ещё,несколько,NUM
263,На болотах оставался ещё,какой-то,DET
264,На болотах оставался ещё,в,ADP
265,На болотах оставался ещё,высокий,ADJ
266,На болотах оставался ещё,туман,NOUN
267,На болотах оставался ещё,снег,NOUN
268,На болотах оставался ещё,мох,NOUN
269,На болотах оставался ещё,сухостой,NOUN
270,На болотах оставался ещё,след,NOUN
271,На болотах оставался ещё,дым,INTJ
272,"Сделав мне знак помолчать, он приложил",палец,NOUN
273,"Сделав мне знак помолчать, он приложил",руку,NOUN
274,"Сделав мне знак помолчать, он приложил",усилие,NOUN
275,"Сделав мне знак помолчать, он приложил",усилия,NOUN
276,"Сделав мне знак помолчать, он приложил",дело,NOUN
277,"Сделав мне знак помолчать, он приложил",руки,NOUN
278,"Сделав мне знак помолчать, он приложил",лед,NOUN
279,"Сделав мне знак помолчать, он приложил",ладонь,NOUN
280,"Сделав мне знак помолчать, он приложил",голову,NOUN
281,"Сделав мне знак помолчать, он приложил",ключ,NOUN
282,"Сделав мне знак помолчать, он приложил",к,ADP
283,"Сделав мне знак помолчать, он приложил",уйти,VERB
284,"Сделав мне знак помолчать, он приложил",свою,DET
285,"Сделав мне знак помолчать, он приложил",мою,DET
286,"Сделав мне знак помолчать, он приложил",все,PRON
287,"Сделав мне знак помолчать, он приложил",приложил,VERB
288,"Сделав мне знак помолчать, он приложил",ухо,NOUN
289,Ваня раскрыл было,мешок,NOUN
290,Ваня раскрыл было,книгу,NOUN
291,Ваня раскрыл было,дело,NOUN
292,Ваня раскрыл было,замки,NOUN
293,Ваня раскрыл было,пальто,NOUN
294,Ваня раскрыл было,тетрадь,NOUN
295,Ваня раскрыл было,дверь,NOUN
296,Ваня раскрыл было,глаза,NOUN
297,Ваня раскрыл было,ладони,NOUN
298,Ваня раскрыл было,подарок,NOUN
299,Ваня раскрыл было,ставни,NOUN
300,Ваня раскрыл было,окно,NOUN
301,Ваня раскрыл было,коробку,NOUN
302,Ваня раскрыл было,пачку,NOUN
303,Ваня раскрыл было,пакет,NOUN
304,Ваня раскрыл было,журнал,NOUN
305,Ваня раскрыл было,секрет,NOUN
306,Ваня раскрыл было,конверт,NOUN
307,Ваня раскрыл было,карты,NOUN
308,Ваня раскрыл было,свой,DET
309,Ваня раскрыл было,для,ADP
310,Ваня раскрыл было,и,CCONJ
311,Ваня раскрыл было,в,ADP
312,Ваня раскрыл было,было,VERB
313,Ваня раскрыл было,это,PRON
314,Ваня раскрыл было,что,PRON
315,Ваня раскрыл было,весь,DET
316,Ваня раскрыл было,п,ADJ
317,Ваня раскрыл было,ре,INTJ
318,Ваня раскрыл было,тайну,NOUN
319,Ваня раскрыл было,преступление,NOUN
320,Ваня раскрыл было,рот,NOUN
321,Но четыре года я не мог себя,понять,VERB
322,Но четыре года я не мог себя,преодолеть,VERB
323,Но четыре года я не мог себя,содержать,VERB
324,Но четыре года я не мог себя,простить,VERB
325,Но четыре года я не мог себя,остановить,VERB
326,Но четыре года я не мог себя,успокоить,VERB
327,Но четыре года я не мог себя,убедить,VERB
328,Но четыре года я не мог себя,сдерживать,VERB
329,Но четыре года я не мог себя,уговорить,VERB
330,Но четыре года я не мог себя,заставить,VERB
331,Возможности этих перемен будут обсуждаться в Париже,людьми,NOUN
332,Возможности этих перемен будут обсуждаться в Париже,в,ADP
333,Возможности этих перемен будут обсуждаться в Париже,во,ADP
334,Возможности этих перемен будут обсуждаться в Париже,завтра,ADV
335,Возможности этих перемен будут обсуждаться в Париже,этой,DET
336,Возможности этих перемен будут обсуждаться в Париже,на,ADP
337,Возможности этих перемен будут обсуждаться в Париже,к,ADP
338,Возможности этих перемен будут обсуждаться в Париже,а,CCONJ
339,Возможности этих перемен будут обсуждаться в Париже,иначе,ADV
340,Возможности этих перемен будут обсуждаться в Париже,осенью,NOUN
341,Отвернув цветастое,платье,NOUN
342,Отвернув цветастое,пальто,NOUN
343,Отвернув цветастое,по,ADP
344,Отвернув цветастое,а,CCONJ
345,Отвернув цветастое,одеяло,NOUN
346,Отвернув цветастое,полотно,NOUN
347,Отвернув цветастое,покрывало,VERB
348,"Я люблю салат из картошки с зеленью, заправленный",льняным,ADJ
349,"Я люблю салат из картошки с зеленью, заправленный",майонезом,NOUN
350,"Я люблю салат из картошки с зеленью, заправленный",маслом,NOUN
351,"Я люблю салат из картошки с зеленью, заправленный",оливковым,ADJ
352,"Я люблю салат из картошки с зеленью, заправленный",подсолнечным,ADJ
353,"Я люблю салат из картошки с зеленью, заправленный",постным,ADJ
354,"Я люблю салат из картошки с зеленью, заправленный",растительным,ADJ
355,"Я люблю салат из картошки с зеленью, заправленный",свежим,ADJ
356,"Я люблю салат из картошки с зеленью, заправленный",сметаной,NOUN
357,Убедительно просим вас разборчиво заполнять,т,NOUN
358,Убедительно просим вас разборчиво заполнять,все,PRON
359,Убедительно просим вас разборчиво заполнять,бланки,NOUN
360,Убедительно просим вас разборчиво заполнять,бланк,NOUN
361,Убедительно просим вас разборчиво заполнять,анкету,NOUN
362,Убедительно просим вас разборчиво заполнять,квитанции,NOUN
363,Убедительно просим вас разборчиво заполнять,форму,NOUN
364,Убедительно просим вас разборчиво заполнять,документы,NOUN
365,Убедительно просим вас разборчиво заполнять,анкеты,NOUN
366,"Собаку, виновницу случившегося, приказали",не,PART
367,"Собаку, виновницу случившегося, приказали",убить,VERB
368,"Собаку, виновницу случившегося, приказали",прогнать,VERB
369,"Собаку, виновницу случившегося, приказали",отвезти,VERB
370,"Собаку, виновницу случившегося, приказали",запереть,VERB
371,"Собаку, виновницу случившегося, приказали",сторожить,VERB
372,"Собаку, виновницу случившегося, приказали",усыпить,VERB
373,"Собаку, виновницу случившегося, приказали",расстрелять,VERB
374,"Собаку, виновницу случившегося, приказали",выгнать,VERB
375,"Собаку, виновницу случившегося, приказали",утопить,VERB
376,"Собаку, виновницу случившегося, приказали",пристрелить,VERB
377,"Покуда я нахожусь у власти, я буду предметом",пристального,ADJ
378,"Покуда я нахожусь у власти, я буду предметом",всеобщего,ADJ
379,"Покуда я нахожусь у власти, я буду предметом",сплетен,NOUN
380,"Покуда я нахожусь у власти, я буду предметом",зависти,NOUN
381,"Покуда я нахожусь у власти, я буду предметом",обсуждений,NOUN
382,"Покуда я нахожусь у власти, я буду предметом",обсуждения,NOUN
383,"Покуда я нахожусь у власти, я буду предметом",подражания,NOUN
384,"Покуда я нахожусь у власти, я буду предметом",насмешек,NOUN
385,"Покуда я нахожусь у власти, я буду предметом",гордости,NOUN
386,"Покуда я нахожусь у власти, я буду предметом",чести,NOUN
387,"Покуда я нахожусь у власти, я буду предметом",нападок,NOUN
388,"Покуда я нахожусь у власти, я буду предметом",критики,NOUN
389,"Покуда я нахожусь у власти, я буду предметом",обожания,NOUN
390,"Покуда я нахожусь у власти, я буду предметом",уважения,NOUN
391,"Покуда я нахожусь у власти, я буду предметом",в,ADP
392,"Покуда я нахожусь у власти, я буду предметом",искусства,NOUN
393,"Покуда я нахожусь у власти, я буду предметом",манипуляции,NOUN
394,"Покуда я нахожусь у власти, я буду предметом",клеветы,NOUN
395,"Покуда я нахожусь у власти, я буду предметом",поклонения,NOUN
396,"Покуда я нахожусь у власти, я буду предметом",постоянной,ADJ
397,"Покуда я нахожусь у власти, я буду предметом",всеобщей,ADJ
398,"Покуда я нахожусь у власти, я буду предметом",для,ADP
399,"Покуда я нахожусь у власти, я буду предметом",ярых,ADJ
400,"Олень бродил среди берёз, жевал",сухую,ADJ
401,"Олень бродил среди берёз, жевал",кору,NOUN
402,"Олень бродил среди берёз, жевал",листву,NOUN
403,"Олень бродил среди берёз, жевал",листья,NOUN
404,"Олень бродил среди берёз, жевал",мох,NOUN
405,"Олень бродил среди берёз, жевал",травку,NOUN
406,"Олень бродил среди берёз, жевал",траву,NOUN
407,Телята быстро,подросли,VERB
408,Телята быстро,взрослеют,VERB
409,Телята быстро,выросли,VERB
410,Телята быстро,стали,VERB
411,Телята быстро,убежали,VERB
412,Телята быстро,привыкли,VERB
413,Телята быстро,бегали,VERB
414,Телята быстро,пошли,VERB
415,Телята быстро,встали,VERB
416,Телята быстро,ели,VERB
417,Телята быстро,щебня,NOUN
418,Телята быстро,м,NOUN
419,Телята быстро,учатся,VERB
420,Телята быстро,росли,VERB
421,Что может сделать самый сильный,человек,NOUN
422,Что может сделать самый сильный,аппарат,NOUN
423,Что может сделать самый сильный,ветер,NOUN
424,Что может сделать самый сильный,двигатель,NOUN
425,Что может сделать самый сильный,препарат,NOUN
426,Что может сделать самый сильный,атлет,NOUN
427,Что может сделать самый сильный,спортсмен,NOUN
428,Что может сделать самый сильный,мужчина,NOUN
429,Что может сделать самый сильный,растворитель,NOUN
430,Что может сделать самый сильный,робот,NOUN
431,Что может сделать самый сильный,и,CCONJ
432,Что может сделать самый сильный,жить,VERB
433,Что может сделать самый сильный,а,CCONJ
434,Что может сделать самый сильный,из,ADP
435,Что может сделать самый сильный,сильный,ADJ
436,Что может сделать самый сильный,на,ADP
437,Что может сделать самый сильный,в,ADP
438,Что может сделать самый сильный,лев,NOUN
439,Что может сделать самый сильный,слон,NOUN
440,Что может сделать самый сильный,медведь,NOUN
441,Что может сделать самый сильный,зверь,NOUN
442,"Твоё тело расслабляется, и исчезает",напряженность,NOUN
443,"Твоё тело расслабляется, и исчезает",в,ADP
444,"Твоё тело расслабляется, и исчезает",зажим,NOUN
445,"Твоё тело расслабляется, и исчезает",боль,NOUN
446,"Твоё тело расслабляется, и исчезает",тяжесть,NOUN
447,"Твоё тело расслабляется, и исчезает",усталость,NOUN
448,"Твоё тело расслабляется, и исчезает",напряжение,NOUN
449,С нескрываемой,нежностью,NOUN
450,С нескрываемой,радостью,NOUN
451,С нескрываемой,завистью,NOUN
452,С нескрываемой,злостью,NOUN
453,С нескрываемой,злобой,NOUN
454,С нескрываемой,досадой,NOUN
455,Он признаёт право каждого,апр,NOUN
456,Он признаёт право каждого,на,ADP
457,Он признаёт право каждого,человека,NOUN
458,Он признаёт право каждого,к,ADP
459,Он признаёт право каждого,из,ADP
460,У нас в Волгограде многие придерживаются,мнения,NOUN
461,У нас в Волгограде многие придерживаются,правила,NOUN
462,У нас в Волгограде многие придерживаются,идеи,NOUN
463,У нас в Волгограде многие придерживаются,правил,NOUN
464,У нас в Волгограде многие придерживаются,взглядов,NOUN
465,У нас в Волгограде многие придерживаются,знания,NOUN
466,У нас в Волгограде многие придерживаются,поста,NOUN
467,У нас в Волгограде многие придерживаются,моды,NOUN
468,У нас в Волгограде многие придерживаются,традиций,NOUN
469,У нас в Волгограде многие придерживаются,веры,NOUN
470,У нас в Волгограде многие придерживаются,следующего,ADJ
471,У нас в Волгограде многие придерживаются,такого,DET
472,У нас в Волгограде многие придерживаются,следующей,ADJ
473,У нас в Волгограде многие придерживаются,определенных,VERB
474,У нас в Волгограде многие придерживаются,консервативных,ADJ
475,У нас в Волгограде многие придерживаются,таких,DET
476,У нас в Волгограде многие придерживаются,правой,ADJ
477,У нас в Волгограде многие придерживаются,своих,DET
478,У нас в Волгограде многие придерживаются,этого,PRON
479,У нас в Волгограде многие придерживаются,старых,ADJ
480,У нас в Волгограде многие придерживаются,простого,ADJ
481,У нас в Волгограде многие придерживаются,этой,DET
482,У нас в Волгограде многие придерживаются,иного,ADJ
483,У нас в Волгограде многие придерживаются,традиционного,ADJ
484,У нас в Волгограде многие придерживаются,старой,ADJ
485,У нас в Волгограде многие придерживаются,той,DET
486,У нас в Волгограде многие придерживаются,этих,DET
487,Чтобы придать объем,этой,DET
488,Чтобы придать объем,этому,PRON
489,Чтобы придать объем,своим,DET
490,Чтобы придать объем,своему,DET
491,Чтобы придать объем,волосам,NOUN
492,Чтобы придать объем,ресницам,NOUN
493,Чтобы придать объем,дятел,NOUN
494,Чтобы придать объем,прическе,NOUN
495,Чтобы придать объем,и,CCONJ
496,Чтобы придать объем,м,NOUN
497,В каждом,человеке,NOUN
498,В каждом,доме,NOUN
499,В каждом,случае,NOUN
500,В каждом,слове,NOUN
501,В каждом,селе,NOUN
502,В каждом,поступке,NOUN
503,В каждом,городе,NOUN
504,В каждом,дворе,NOUN
505,В каждом,пк,NOUN
506,В каждом,куске,NOUN
507,В каждом,из,ADP
508,В каждом,маленьком,ADJ
509,В каждом,обвислом,NOUN
510,В каждом,есть,VERB
511,В каждом,населенном,ADJ
512,В каждом,р,NOUN
513,Когда мне хотелось,покоя,NOUN
514,Когда мне хотелось,кушать,VERB
515,Когда мне хотелось,летать,VERB
516,Когда мне хотелось,есть,VERB
517,Когда мне хотелось,жить,VERB
518,Когда мне хотелось,поговорить,VERB
519,Когда мне хотелось,петь,VERB
520,Когда мне хотелось,немного,ADV
521,Когда мне хотелось,выпить,VERB
522,Когда мне хотелось,быть,VERB
523,Когда мне хотелось,пить,VERB
524,Когда мне хотелось,уволиться,VERB
525,Когда мне хотелось,спать,VERB
526,Когда мне хотелось,бежать,VERB
527,Когда мне хотелось,домой,ADV
528,Когда мне хотелось,пойти,VERB
529,Когда мне хотелось,отвлечься,VERB
530,Когда мне хотелось,получить,VERB
531,Когда мне хотелось,сладкого,ADJ
532,Педагог предъявляет,значительные,ADJ
533,Педагог предъявляет,требования,NOUN
534,Педагог предъявляет,слишком,ADV
535,Педагог предъявляет,претензии,NOUN
536,Педагог предъявляет,студентам,NOUN
537,Педагог предъявляет,свои,DET
538,Педагог предъявляет,повышенные,VERB
539,Педагог предъявляет,высокие,ADJ
540,Ее сын Гриша умер,прошлой,ADJ
541,Ее сын Гриша умер,от,ADP
542,Ее сын Гриша умер,в,ADP
543,Ее сын Гриша умер,когда,ADV
544,Ее сын Гриша умер,несколько,NUM
545,Ее сын Гриша умер,месяц,NOUN
546,Ее сын Гриша умер,рано,ADV
547,Ненужный коврик из твёрдой,ткани,NOUN
548,Ненужный коврик из твёрдой,шерсти,NOUN
549,Ненужный коврик из твёрдой,р,NOUN
550,Ненужный коврик из твёрдой,стали,VERB
551,Ненужный коврик из твёрдой,материи,NOUN
552,Ненужный коврик из твёрдой,резины,NOUN
553,Ненужный коврик из твёрдой,пластмассы,NOUN
554,"Мне нравится сын коллеги,",работающий,VERB
555,"Мне нравится сын коллеги,",только,PART
556,"Мне нравится сын коллеги,",но,CCONJ
557,"Мне нравится сын коллеги,",когда,ADV
558,"Мне нравится сын коллеги,",потому,ADV
559,"Мне нравится сын коллеги,",с,ADP
560,"Мне нравится сын коллеги,",и,CCONJ
561,"Мне нравится сын коллеги,",вот,PART
562,"Мне нравится сын коллеги,",а,CCONJ
563,"Мне нравится сын коллеги,",маши,NOUN
564,"Мне нравится сын коллеги,",хоть,ADV
565,"Мне нравится сын коллеги,",он,PRON
566,"Мне нравится сын коллеги,",который,PRON
567,"Мне нравится сын коллеги,",которая,PRON
568,"Мне нравится сын коллеги,",которы,PRON
569,"Мне нравится сын коллеги,",которого,PRON
570,"Мне нравится сын коллеги,",котора,PRON
571,"Мне нравится сын коллеги,",которую,PRON
572,"Зачем ему звонить, если откликается",сам,ADJ
573,"Зачем ему звонить, если откликается",жена,NOUN
574,"Зачем ему звонить, если откликается",не,PART
575,"Зачем ему звонить, если откликается",только,PART
576,"Зачем ему звонить, если откликается",на,ADP
577,"Зачем ему звонить, если откликается",кто-то,PRON
578,"Зачем ему звонить, если откликается",телефон,NOUN
579,"Зачем ему звонить, если откликается",его,PRON
580,"Зачем ему звонить, если откликается",он,PRON
581,"Зачем ему звонить, если откликается",всегда,ADV
