context,ADJ,ADP,ADV,CCONJ,DET,INTJ,NOUN,NUM,PART,PRON,PROPN,SCONJ,VERB
На газовой плите стояла,0.3333333333333333,0.06666666666666667,0.0,0.0,0.0,0.0,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.06666666666666667
На запись голоса,0.0,0.3333333333333333,0.06666666666666667,0.26666666666666666,0.0,0.26666666666666666,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0
На привале у озера,0.0,0.26666666666666666,0.26666666666666666,0.06666666666666667,0.0,0.13333333333333333,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.13333333333333333
"Наживка, на которую он ловил",0.0,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.0,0.0,0.2,0.0,0.0,0.13333333333333333
Наше правительство сделало,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.2857142857142857,0.0,0.0,0.0
Наши власти позволяют себе,0.2,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.0,0.26666666666666666,0.0,0.06666666666666667,0.0,0.0,0.0,0.26666666666666666
"Не обнаружив ничего в досье, сыщики решили",0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.9333333333333333
Не поручайте,0.6666666666666666,0.06666666666666667,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0
Ненужный коврик из твёрдой,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
Но четыре года я не мог себя,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8666666666666667
"Один футболист, который получил",0.7333333333333333,0.0,0.06666666666666667,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Однако здесь,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.6
"Олень бродил среди берёз, жевал",0.4,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
Он был очень,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333
"Он вскрыл пачку сухарей,",0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.8
Он ловко поддел концом,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
Он признаёт право каждого,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.5
Он стал плохо,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.8666666666666667
Он умел из любого,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
"Она почти не изменилась, только слегка",0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333
Она с досадой,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Она успевала убраться, разморозить",0.26666666666666666,0.0,0.0,0.06666666666666667,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.06666666666666667
"Они не ели целый день,",0.0,0.0,0.16666666666666666,0.5,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0
От внимания наблюдателя не должна,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
От смерти его спасла,0.06666666666666667,0.0,0.06666666666666667,0.0,0.2,0.0,0.3333333333333333,0.06666666666666667,0.26666666666666666,0.0,0.0,0.0,0.0
Отвернув цветастое,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.2
Очень тогда,0.06666666666666667,0.0,0.26666666666666666,0.06666666666666667,0.0,0.13333333333333333,0.0,0.0,0.06666666666666667,0.3333333333333333,0.0,0.0,0.06666666666666667
Очень хочется заплести,0.0,0.0,0.13333333333333333,0.13333333333333333,0.0,0.0,0.5333333333333333,0.0,0.06666666666666667,0.13333333333333333,0.0,0.0,0.0
Педагог предъявляет,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.2
Перед ним снова была,0.26666666666666666,0.0,0.0,0.0,0.06666666666666667,0.0,0.4666666666666667,0.0,0.0,0.06666666666666667,0.0,0.0,0.13333333333333333
"По воскресеньям музыканты, исполнявшие",0.6,0.0,0.0,0.0,0.06666666666666667,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
Под рукавом рубашки виднелся тонкий,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.13333333333333333
"Покуда я нахожусь у власти, я буду предметом",0.2,0.06666666666666667,0.0,0.0,0.0,0.0,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
После завершения,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.16666666666666666,0.0,0.0,0.0
Приблизительно в центре тайги,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778
"Приготовь себе диетические овощные блюда,",0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.16666666666666666,0.0
Применение микросхемы,0.0,0.13333333333333333,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.5333333333333333,0.0,0.0,0.2,0.0,0.0
Причиной аварии был мобильный,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.8,0.0,0.0,0.0,0.0,0.0,0.13333333333333333
Работы выполняет,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4,0.0,0.0,0.13333333333333333,0.0,0.0
С нескрываемой,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
"Сделав мне знак помолчать, он приложил",0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
"Собаку, виновницу случившегося, приказали",0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.0,0.8
Создать настоящие шедевры вам помогут,0.7333333333333333,0.0,0.0,0.0,0.13333333333333333,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.0
Стала стабильнее экономическая и политическая,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.06666666666666667
Старуха была страшной --,0.13333333333333333,0.26666666666666666,0.0,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.13333333333333333,0.0,0.0,0.0,0.3333333333333333
Старый шкаф,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Судя по огромному,0.0,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.13333333333333333
"Существует легенда, что",0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0
"Считается, что коллекционирование",0.2,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.13333333333333333
"Там, недалеко от кухонной двери, сидел",0.4666666666666667,0.13333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.06666666666666667,0.0,0.0,0.0,0.0,0.0
"Твоё тело расслабляется, и исчезает",0.2,0.0,0.0,0.0,0.26666666666666666,0.0,0.4,0.0,0.0,0.13333333333333333,0.0,0.0,0.0
Телята быстро,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Тема эта в то время была,0.7333333333333333,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0
"Товарищ генерал,",0.26666666666666666,0.13333333333333333,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.2,0.0,0.0,0.2
"Тому, кто",0.0,0.13333333333333333,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.7333333333333333
Торговля продуктами питания является одной из самых,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
У Пашки,0.0,0.6,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0
У директора школы был тонкий,0.2,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
У мамы есть,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.3333333333333333,0.5333333333333333,0.0,0.0,0.0,0.0,0.0
У моего отца был счёт в швейцарском,0.2,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
У нас в Волгограде многие придерживаются,0.2,0.0,0.06666666666666667,0.0,0.2,0.0,0.4666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.0
"У тебя впереди замечательный день,",0.4666666666666667,0.0,0.06666666666666667,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.26666666666666666
Убедительно просим вас разборчиво заполнять,0.2,0.0,0.0,0.0,0.06666666666666667,0.0,0.6666666666666666,0.0,0.0,0.06666666666666667,0.0,0.0,0.0
"Что используют для этой прически,",0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
Что может сделать самый сильный,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.2,0.0,0.0,0.13333333333333333,0.0,0.0,0.06666666666666667
Что ты хочешь чтобы тебе,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Чтобы придать объем,0.0,0.0,0.0,0.06666666666666667,0.13333333333333333,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
Шею Лизы украшало ожерелье,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Этот роман захватывает читателя с первой,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.8666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.0
Этот студент,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.35714285714285715,0.0,0.07142857142857142,0.0,0.0,0.0,0.5
Я знал: их особенно,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.8
"Я люблю салат из картошки с зеленью, заправленный",0.3333333333333333,0.06666666666666667,0.0,0.0,0.0,0.0,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.06666666666666667
Я сделала,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.6363636363636364,0.0,0.18181818181818182,0.09090909090909091,0.0,0.0
"Я сказал, что русский солдат",0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0
"Я слезал, щупал",0.0,0.0,0.13333333333333333,0.26666666666666666,0.0,0.13333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.13333333333333333
